business_id,business_name,customer_radius_km,customer_type,supplier_dependency,seasonality,main_operational_risks,key_demand_indicators
BUS00036,Cloud Kitchen - Unit 0036,8,Government/Institutional Contracts,Import-dependent supply chain,Monsoon-dependent (Jun-Sep),Power/utility disruptions; Dependence on single supplier; Regulatory/licensing compliance burden,School/college enrollment nearby; Repeat customer rate; Seasonal festival calendar
BUS00037,Grocery Wholesaler - Unit 0037,5.3,Online/E-commerce,Self-sourced/in-house production,"Back-to-school peak (Jun, Jan)",High employee attrition; Power/utility disruptions,School/college enrollment nearby; Local population growth; Local construction/real estate activity
BUS00038,Bookstore - Unit 0038,4.8,Retail - Walk-in,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Power/utility disruptions; Logistics and last-mile delivery cost,Average transaction value trend; Agricultural output in surrounding region; School/college enrollment nearby
BUS00039,Sweet Shop - Unit 0039,3,B2B - Local Businesses,Import-dependent supply chain,Stable year-round demand,Delayed customer payments (B2B); Currency/import cost fluctuation; Logistics and last-mile delivery cost,Repeat customer rate; Online order volume trend; Seasonal festival calendar
BUS00040,Bakery - Unit 0040,2.6,Retail - Walk-in,2-3 suppliers - moderate dependency,Year-end/New Year spike,Competition from larger chains; Power/utility disruptions,Agricultural output in surrounding region; Local employment rate
BUS00041,Mobile Repair Shop - Unit 0041,9,Retail - Walk-in,Single supplier - high dependency,Harvest-season dependent,Seasonal cash flow gaps; Delayed customer payments (B2B),Foot traffic count; Social media engagement/reviews; Online order volume trend
BUS00042,Handicraft Exporter - Unit 0042,1,Mixed Retail & Wholesale,Import-dependent supply chain,"Low seasonality, weekday/weekend variation only",Competition from larger chains; Logistics and last-mile delivery cost; Delayed customer payments (B2B),Social media engagement/reviews; Average transaction value trend; Local population growth
BUS00043,Laundry Service - Unit 0043,14.7,B2B - Regional Distributors,Import-dependent supply chain,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; High employee attrition; Perishable inventory spoilage,Repeat customer rate; Seasonal festival calendar; Online order volume trend
BUS00044,Hardware Store - Unit 0044,6.5,Government/Institutional Contracts,Single supplier - high dependency,Summer peak (Apr-Jun),High employee attrition; Power/utility disruptions,Agricultural output in surrounding region; Online order volume trend
BUS00045,Restaurant - Unit 0045,9.6,Government/Institutional Contracts,Self-sourced/in-house production,Harvest-season dependent,High employee attrition; Power/utility disruptions,Local construction/real estate activity; Foot traffic count; Agricultural output in surrounding region
BUS00046,Fitness Studio - Unit 0046,12,Online/E-commerce,Diversified supplier base - low dependency,Harvest-season dependent,Delayed customer payments (B2B); Limited access to working capital credit; Logistics and last-mile delivery cost,Average transaction value trend; Online order volume trend
BUS00047,Hardware Store - Unit 0047,9.9,Wholesale Bulk Buyers,Diversified supplier base - low dependency,Harvest-season dependent,Competition from larger chains; Seasonal cash flow gaps,Local employment rate; Local construction/real estate activity
BUS00048,Bookstore - Unit 0048,0.4,Wholesale Bulk Buyers,2-3 suppliers - moderate dependency,Year-end/New Year spike,Raw material price volatility; Perishable inventory spoilage,Competitor density in radius; Online order volume trend; Average transaction value trend
BUS00049,Furniture Store - Unit 0049,7.7,Wholesale Bulk Buyers,Diversified supplier base - low dependency,Harvest-season dependent,Dependence on single supplier; Competition from larger chains; Raw material price volatility,Competitor density in radius; Online order volume trend
BUS00050,Vegetable Vendor - Unit 0050,1.1,Retail - Walk-in,Single supplier - high dependency,Monsoon-dependent (Jun-Sep),Raw material price volatility; Logistics and last-mile delivery cost,Online order volume trend; Local population growth
BUS00051,Mobile Repair Shop - Unit 0051,1,B2B - Regional Distributors,Self-sourced/in-house production,"Back-to-school peak (Jun, Jan)",Seasonal cash flow gaps; Logistics and last-mile delivery cost; Currency/import cost fluctuation,Local population growth; Seasonal festival calendar
BUS00052,Auto Repair Shop - Unit 0052,20.3,Institutional (Schools/Offices),Seasonal supplier contracts,Harvest-season dependent,Limited access to working capital credit; High employee attrition; Dependence on single supplier,Repeat customer rate; Seasonal festival calendar
BUS00053,Plastic Goods Manufacturer - Unit 0053,28.1,Retail - Walk-in,Diversified supplier base - low dependency,"Low seasonality, weekday/weekend variation only",Currency/import cost fluctuation; Regulatory/licensing compliance burden; Dependence on single supplier,Foot traffic count; Local employment rate; Average transaction value trend
BUS00054,Auto Repair Shop - Unit 0054,11.8,Mixed Retail & Wholesale,Import-dependent supply chain,Summer peak (Apr-Jun),Seasonal cash flow gaps; Delayed customer payments (B2B); Perishable inventory spoilage,Average transaction value trend; Local employment rate; Local construction/real estate activity
BUS00055,Hardware Store - Unit 0055,8,Retail - Repeat/Loyalty,Diversified supplier base - low dependency,Year-end/New Year spike,Competition from larger chains; Logistics and last-mile delivery cost,Competitor density in radius; Foot traffic count; Average transaction value trend
BUS00056,Plastic Goods Manufacturer - Unit 0056,6.1,B2B - Regional Distributors,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Perishable inventory spoilage; Logistics and last-mile delivery cost; Limited access to working capital credit,Social media engagement/reviews; Online order volume trend
BUS00057,Restaurant - Unit 0057,3.3,Mixed Retail & Wholesale,Seasonal supplier contracts,Monsoon-dependent (Jun-Sep),Currency/import cost fluctuation; Competition from larger chains; Limited access to working capital credit,Repeat customer rate; Seasonal festival calendar
BUS00058,Bakery - Unit 0058,10.8,Institutional (Schools/Offices),Import-dependent supply chain,Wedding season peak (Nov-Feb),Delayed customer payments (B2B); Limited access to working capital credit; Regulatory/licensing compliance burden,Agricultural output in surrounding region; Social media engagement/reviews; Competitor density in radius
BUS00059,Stationery Shop - Unit 0059,13.6,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,Stable year-round demand,Regulatory/licensing compliance burden; Dependence on single supplier,Online order volume trend; Agricultural output in surrounding region
BUS00060,Laundry Service - Unit 0060,13.7,Government/Institutional Contracts,Seasonal supplier contracts,"Back-to-school peak (Jun, Jan)",High employee attrition; Perishable inventory spoilage,Competitor density in radius; Local population growth
BUS00061,Dairy & Milk Supplier - Unit 0061,0.5,B2B - Local Businesses,Diversified supplier base - low dependency,High demand Oct-Dec (festive season),Delayed customer payments (B2B); Perishable inventory spoilage,School/college enrollment nearby; Average transaction value trend
BUS00062,Auto Repair Shop - Unit 0062,0.5,Mixed Retail & Wholesale,Self-sourced/in-house production,Year-end/New Year spike,Seasonal cash flow gaps; Raw material price volatility; Perishable inventory spoilage,Repeat customer rate; Agricultural output in surrounding region; Local employment rate
BUS00063,Mobile Repair Shop - Unit 0063,1,Retail - Walk-in,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Dependence on single supplier; High employee attrition; Limited access to working capital credit,Local construction/real estate activity; Agricultural output in surrounding region; School/college enrollment nearby
BUS00064,Bakery - Unit 0064,19,Mixed Retail & Wholesale,Diversified supplier base - low dependency,Harvest-season dependent,Logistics and last-mile delivery cost; Limited access to working capital credit; Raw material price volatility,Online order volume trend; School/college enrollment nearby
BUS00065,Clothing Boutique - Unit 0065,5.3,B2B - Local Businesses,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Seasonal cash flow gaps; Raw material price volatility,Average transaction value trend; Local construction/real estate activity; Agricultural output in surrounding region
BUS00066,Dairy & Milk Supplier - Unit 0066,0.4,Institutional (Schools/Offices),Import-dependent supply chain,Year-end/New Year spike,Currency/import cost fluctuation; High employee attrition,School/college enrollment nearby; Local construction/real estate activity; Online order volume trend
BUS00067,Tutoring Center - Unit 0067,1,B2B - Local Businesses,Diversified supplier base - low dependency,Summer peak (Apr-Jun),Raw material price volatility; Seasonal cash flow gaps,Local construction/real estate activity; Agricultural output in surrounding region; Seasonal festival calendar
BUS00068,Print & Copy Shop - Unit 0068,1,Institutional (Schools/Offices),Import-dependent supply chain,Harvest-season dependent,Delayed customer payments (B2B); Limited access to working capital credit; Competition from larger chains,Repeat customer rate; Local construction/real estate activity; Foot traffic count
BUS00069,Packaging Unit - Unit 0069,10.9,Institutional (Schools/Offices),Single supplier - high dependency,Stable year-round demand,Currency/import cost fluctuation; Logistics and last-mile delivery cost,School/college enrollment nearby; Seasonal festival calendar
BUS00070,Bookstore - Unit 0070,0.6,B2B - Local Businesses,Self-sourced/in-house production,"Low seasonality, weekday/weekend variation only",Perishable inventory spoilage; Seasonal cash flow gaps; Logistics and last-mile delivery cost,School/college enrollment nearby; Average transaction value trend; Repeat customer rate
BUS00071,Mobile Repair Shop - Unit 0071,6.7,Online/E-commerce,Import-dependent supply chain,Stable year-round demand,Regulatory/licensing compliance burden; Power/utility disruptions,Seasonal festival calendar; School/college enrollment nearby; Local employment rate
BUS00072,Agri Input Dealer - Unit 0072,16.3,Retail - Repeat/Loyalty,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Dependence on single supplier; Power/utility disruptions; Delayed customer payments (B2B),School/college enrollment nearby; Social media engagement/reviews
BUS00073,Print & Copy Shop - Unit 0073,8.2,Government/Institutional Contracts,Diversified supplier base - low dependency,Year-end/New Year spike,Raw material price volatility; High employee attrition; Perishable inventory spoilage,Seasonal festival calendar; Average transaction value trend
BUS00074,Packaging Unit - Unit 0074,12.7,B2B - Regional Distributors,Import-dependent supply chain,Summer peak (Apr-Jun),Delayed customer payments (B2B); Raw material price volatility; Limited access to working capital credit,Repeat customer rate; Online order volume trend; Agricultural output in surrounding region
BUS00075,Print & Copy Shop - Unit 0075,1.1,B2B - Local Businesses,Self-sourced/in-house production,"Back-to-school peak (Jun, Jan)",Power/utility disruptions; Competition from larger chains; Currency/import cost fluctuation,Average transaction value trend; Social media engagement/reviews
BUS00076,Salon & Spa - Unit 0076,8.8,Government/Institutional Contracts,Import-dependent supply chain,Summer peak (Apr-Jun),Perishable inventory spoilage; Power/utility disruptions,Social media engagement/reviews; Seasonal festival calendar; Foot traffic count
BUS00077,Dairy & Milk Supplier - Unit 0077,5.7,Mixed Retail & Wholesale,2-3 suppliers - moderate dependency,Year-end/New Year spike,Regulatory/licensing compliance burden; Limited access to working capital credit; Delayed customer payments (B2B),Average transaction value trend; Competitor density in radius; Online order volume trend
BUS00078,Cloud Kitchen - Unit 0078,3.1,B2B - Regional Distributors,Self-sourced/in-house production,High demand Oct-Dec (festive season),Limited access to working capital credit; Competition from larger chains; Power/utility disruptions,School/college enrollment nearby; Agricultural output in surrounding region; Local population growth
BUS00079,Mobile Repair Shop - Unit 0079,0.4,Online/E-commerce,Single supplier - high dependency,Year-end/New Year spike,Delayed customer payments (B2B); Competition from larger chains,Agricultural output in surrounding region; Local population growth
BUS00080,Tutoring Center - Unit 0080,1.7,Institutional (Schools/Offices),Diversified supplier base - low dependency,Harvest-season dependent,Regulatory/licensing compliance burden; Currency/import cost fluctuation,Competitor density in radius; School/college enrollment nearby; Average transaction value trend
BUS00081,Plastic Goods Manufacturer - Unit 0081,16.3,Retail - Repeat/Loyalty,2-3 suppliers - moderate dependency,"Back-to-school peak (Jun, Jan)",Limited access to working capital credit; Dependence on single supplier,Repeat customer rate; School/college enrollment nearby; Agricultural output in surrounding region
BUS00082,Print & Copy Shop - Unit 0082,2.2,Retail - Walk-in,Single supplier - high dependency,Wedding season peak (Nov-Feb),Perishable inventory spoilage; Regulatory/licensing compliance burden,Local employment rate; Local population growth; Online order volume trend
BUS00083,Grocery Wholesaler - Unit 0083,10.3,B2B - Local Businesses,2-3 suppliers - moderate dependency,Summer peak (Apr-Jun),Logistics and last-mile delivery cost; Power/utility disruptions,Average transaction value trend; Local construction/real estate activity
BUS00084,Salon & Spa - Unit 0084,3,Institutional (Schools/Offices),Self-sourced/in-house production,"Back-to-school peak (Jun, Jan)",Competition from larger chains; Perishable inventory spoilage,Repeat customer rate; Average transaction value trend
BUS00085,Stationery Shop - Unit 0085,23,Wholesale Bulk Buyers,Import-dependent supply chain,"Back-to-school peak (Jun, Jan)",Perishable inventory spoilage; High employee attrition; Power/utility disruptions,Repeat customer rate; Online order volume trend; Local employment rate
BUS00086,Bookstore - Unit 0086,7.2,Institutional (Schools/Offices),Single supplier - high dependency,Harvest-season dependent,Raw material price volatility; Logistics and last-mile delivery cost; Limited access to working capital credit,Seasonal festival calendar; Online order volume trend; Local construction/real estate activity
BUS00087,Event Planning Service - Unit 0087,6.2,B2B - Regional Distributors,Seasonal supplier contracts,"Back-to-school peak (Jun, Jan)",Currency/import cost fluctuation; Dependence on single supplier,Seasonal festival calendar; Average transaction value trend
BUS00088,Pharmacy - Unit 0088,23.6,B2B - Local Businesses,Single supplier - high dependency,"Back-to-school peak (Jun, Jan)",Limited access to working capital credit; Power/utility disruptions; Seasonal cash flow gaps,Local population growth; Social media engagement/reviews
BUS00089,Packaging Unit - Unit 0089,7.1,Institutional (Schools/Offices),2-3 suppliers - moderate dependency,"Back-to-school peak (Jun, Jan)",Perishable inventory spoilage; Regulatory/licensing compliance burden; Dependence on single supplier,Repeat customer rate; Local population growth; Online order volume trend
BUS00090,Plastic Goods Manufacturer - Unit 0090,11.9,Government/Institutional Contracts,Diversified supplier base - low dependency,Stable year-round demand,Raw material price volatility; Perishable inventory spoilage; Delayed customer payments (B2B),Average transaction value trend; Competitor density in radius
BUS00091,Sweet Shop - Unit 0091,5.2,Online/E-commerce,Single supplier - high dependency,Monsoon-dependent (Jun-Sep),Raw material price volatility; Logistics and last-mile delivery cost; Delayed customer payments (B2B),Local construction/real estate activity; Online order volume trend; Repeat customer rate
BUS00092,Vegetable Vendor - Unit 0092,17.5,Institutional (Schools/Offices),Import-dependent supply chain,Harvest-season dependent,Seasonal cash flow gaps; Raw material price volatility,Seasonal festival calendar; Average transaction value trend
BUS00093,Auto Repair Shop - Unit 0093,0.9,Government/Institutional Contracts,2-3 suppliers - moderate dependency,Harvest-season dependent,Regulatory/licensing compliance burden; Currency/import cost fluctuation; Delayed customer payments (B2B),Local construction/real estate activity; Local population growth; Local employment rate
BUS00094,Vegetable Vendor - Unit 0094,1.1,Wholesale Bulk Buyers,Diversified supplier base - low dependency,High demand Oct-Dec (festive season),High employee attrition; Competition from larger chains; Currency/import cost fluctuation,Competitor density in radius; Repeat customer rate
BUS00095,Sweet Shop - Unit 0095,7.1,Online/E-commerce,Single supplier - high dependency,Harvest-season dependent,High employee attrition; Dependence on single supplier; Competition from larger chains,School/college enrollment nearby; Online order volume trend
BUS00096,Vegetable Vendor - Unit 0096,29.7,Retail - Walk-in,Diversified supplier base - low dependency,Monsoon-dependent (Jun-Sep),Logistics and last-mile delivery cost; High employee attrition,Social media engagement/reviews; Online order volume trend
BUS00097,Bookstore - Unit 0097,3.4,B2B - Regional Distributors,Diversified supplier base - low dependency,Summer peak (Apr-Jun),Perishable inventory spoilage; Seasonal cash flow gaps,Social media engagement/reviews; Seasonal festival calendar
BUS00098,Event Planning Service - Unit 0098,1.7,Retail - Walk-in,2-3 suppliers - moderate dependency,High demand Oct-Dec (festive season),High employee attrition; Logistics and last-mile delivery cost; Regulatory/licensing compliance burden,Local population growth; Seasonal festival calendar
BUS00099,Pharmacy - Unit 0099,2.2,Government/Institutional Contracts,Single supplier - high dependency,Stable year-round demand,Competition from larger chains; Regulatory/licensing compliance burden; Delayed customer payments (B2B),Average transaction value trend; Social media engagement/reviews
BUS00100,Bakery - Unit 0100,20.4,Government/Institutional Contracts,Diversified supplier base - low dependency,Year-end/New Year spike,Raw material price volatility; Competition from larger chains,Local employment rate; School/college enrollment nearby; Repeat customer rate
BUS00101,Mobile Repair Shop - Unit 0101,12.4,Retail - Repeat/Loyalty,Diversified supplier base - low dependency,Summer peak (Apr-Jun),Seasonal cash flow gaps; Perishable inventory spoilage,Local employment rate; Local construction/real estate activity; Social media engagement/reviews
BUS00102,Dairy & Milk Supplier - Unit 0102,15,Wholesale Bulk Buyers,Single supplier - high dependency,Stable year-round demand,Power/utility disruptions; Competition from larger chains,Local employment rate; Competitor density in radius
BUS00103,Agri Input Dealer - Unit 0103,14.4,Retail - Repeat/Loyalty,Diversified supplier base - low dependency,Harvest-season dependent,Currency/import cost fluctuation; Perishable inventory spoilage; Regulatory/licensing compliance burden,School/college enrollment nearby; Average transaction value trend
BUS00104,Restaurant - Unit 0104,1.1,Retail - Repeat/Loyalty,Self-sourced/in-house production,Stable year-round demand,Seasonal cash flow gaps; Delayed customer payments (B2B); Raw material price volatility,School/college enrollment nearby; Repeat customer rate; Local employment rate
BUS00105,Stationery Shop - Unit 0105,11.5,Retail - Walk-in,Diversified supplier base - low dependency,"Back-to-school peak (Jun, Jan)",Dependence on single supplier; Logistics and last-mile delivery cost; Delayed customer payments (B2B),Local population growth; School/college enrollment nearby
BUS00106,Mobile Repair Shop - Unit 0106,3.4,Online/E-commerce,Seasonal supplier contracts,Wedding season peak (Nov-Feb),Perishable inventory spoilage; Logistics and last-mile delivery cost,Local employment rate; Social media engagement/reviews
BUS00107,Photography Studio - Unit 0107,26.1,Government/Institutional Contracts,Single supplier - high dependency,"Back-to-school peak (Jun, Jan)",Seasonal cash flow gaps; Perishable inventory spoilage,Competitor density in radius; Agricultural output in surrounding region; Foot traffic count
BUS00108,Electronics Retailer - Unit 0108,2.1,Wholesale Bulk Buyers,Single supplier - high dependency,Summer peak (Apr-Jun),Dependence on single supplier; Delayed customer payments (B2B),Local employment rate; Agricultural output in surrounding region
BUS00109,Print & Copy Shop - Unit 0109,6,Institutional (Schools/Offices),Import-dependent supply chain,Wedding season peak (Nov-Feb),Raw material price volatility; Seasonal cash flow gaps,Local construction/real estate activity; Foot traffic count
BUS00110,Sweet Shop - Unit 0110,0.9,Wholesale Bulk Buyers,Self-sourced/in-house production,Year-end/New Year spike,Perishable inventory spoilage; High employee attrition; Delayed customer payments (B2B),Competitor density in radius; Local employment rate
BUS00111,Auto Repair Shop - Unit 0111,5.4,Mixed Retail & Wholesale,Seasonal supplier contracts,"Back-to-school peak (Jun, Jan)",High employee attrition; Power/utility disruptions,Foot traffic count; Online order volume trend
BUS00112,Dairy & Milk Supplier - Unit 0112,3.3,Institutional (Schools/Offices),Diversified supplier base - low dependency,Wedding season peak (Nov-Feb),Raw material price volatility; Competition from larger chains,Local population growth; Agricultural output in surrounding region; Local employment rate
BUS00113,Textile Manufacturer - Unit 0113,3,Online/E-commerce,Single supplier - high dependency,Harvest-season dependent,Power/utility disruptions; Raw material price volatility,Repeat customer rate; Competitor density in radius; Local construction/real estate activity
BUS00114,Tutoring Center - Unit 0114,24,Wholesale Bulk Buyers,Diversified supplier base - low dependency,Stable year-round demand,Raw material price volatility; Regulatory/licensing compliance burden; Seasonal cash flow gaps,Agricultural output in surrounding region; Competitor density in radius; Repeat customer rate
BUS00115,Tutoring Center - Unit 0115,0.9,Wholesale Bulk Buyers,Seasonal supplier contracts,Stable year-round demand,Perishable inventory spoilage; Regulatory/licensing compliance burden; High employee attrition,Local population growth; Repeat customer rate; Social media engagement/reviews
BUS00116,Vegetable Vendor - Unit 0116,1,B2B - Regional Distributors,Diversified supplier base - low dependency,Wedding season peak (Nov-Feb),High employee attrition; Dependence on single supplier,Seasonal festival calendar; Online order volume trend
BUS00117,Electronics Retailer - Unit 0117,21.5,Retail - Repeat/Loyalty,2-3 suppliers - moderate dependency,Year-end/New Year spike,Logistics and last-mile delivery cost; Limited access to working capital credit; Competition from larger chains,School/college enrollment nearby; Competitor density in radius; Local population growth
BUS00118,Print & Copy Shop - Unit 0118,1,Institutional (Schools/Offices),Diversified supplier base - low dependency,High demand Oct-Dec (festive season),Delayed customer payments (B2B); Dependence on single supplier; Perishable inventory spoilage,Average transaction value trend; Foot traffic count; School/college enrollment nearby
BUS00119,Stationery Shop - Unit 0119,4.2,Retail - Repeat/Loyalty,Seasonal supplier contracts,"Low seasonality, weekday/weekend variation only",Competition from larger chains; Logistics and last-mile delivery cost; Delayed customer payments (B2B),Average transaction value trend; Local construction/real estate activity
