competitor_id,location_id,business_category,business_name,latitude,longitude,distance_km,source,confidence
COMP0053,LOC012,Dairy,Shri Maa Dudh Dairy,10.421763,77.179183,6.5,OpenStreetMap,High
COMP0054,LOC003,Dairy,Om Dairy,18.028219,73.454171,0.3,OpenStreetMap,High
COMP0055,LOC003,Tailoring,Shiv Boutique,29.916508,85.109445,5.9,OpenStreetMap,Medium
COMP0056,LOC005,Dairy,Shree Milk Center,28.279057,84.025673,5.1,User-provided,Medium
COMP0057,LOC017,Kirana,Shiv Kirana Store,22.475883,86.817427,6.8,OpenStreetMap,High
COMP0058,LOC001,Dairy,Shri Laxmi Dudh Dairy,17.476500,79.886763,0.6,OpenStreetMap,High
COMP0059,LOC016,Dairy,Ganesh Doodh Bhandar,26.433195,80.696646,5.3,Illustrative,Low
COMP0060,LOC016,Dairy,Balaji Dairy,14.058333,84.676130,2.4,User-provided,High
COMP0061,LOC013,Dairy,Shri Prime Dudh Dairy,9.526614,82.734848,2.0,Illustrative,Low
COMP0062,LOC011,Dairy,Shri Royal Dudh Dairy,22.083057,72.995767,0.7,OpenStreetMap,High
COMP0063,LOC007,Tailoring,Durga Fashion Point,20.848510,80.095207,4.7,OpenStreetMap,High
COMP0064,LOC010,Kirana,New Mart,15.379092,74.000489,5.1,User-provided,High
COMP0065,LOC013,Dairy,Ganesh Milk Center,22.413484,75.025329,5.2,OpenStreetMap,High
COMP0066,LOC020,Kirana,Laxmi Provision Store,25.350423,76.432723,8.9,User-provided,High
COMP0067,LOC001,Dairy,Shiv Doodh Bhandar,19.263323,77.540631,1.5,OpenStreetMap,Medium
COMP0068,LOC011,Dairy,Shri New Dudh Dairy,16.221597,78.110880,4.0,OpenStreetMap,High
COMP0069,LOC010,Dairy,Maa Dairy,17.802882,86.458559,0.8,User-provided,High
COMP0070,LOC002,Dairy,Shiv Dairy,15.283519,87.488761,2.5,OpenStreetMap,Medium
COMP0071,LOC017,Dairy,Shri Star Dudh Dairy,29.710824,85.547808,6.3,Illustrative,Low
COMP0072,LOC003,Dairy,Sun Doodh Bhandar,23.219429,74.975589,8.6,User-provided,Medium
COMP0073,LOC018,Dairy,Star Doodh Bhandar,16.682275,77.475018,7.3,OpenStreetMap,Medium
COMP0074,LOC008,Dairy,Laxmi Doodh Bhandar,12.432712,75.338014,2.1,User-provided,Medium
COMP0075,LOC015,Kirana,Star Mart,11.764265,75.820791,1.0,OpenStreetMap,High
COMP0076,LOC011,Dairy,Shri Modern Dudh Dairy,13.271618,73.115283,8.6,User-provided,High
COMP0077,LOC017,Dairy,Shri Gramin Dudh Dairy,26.525875,80.620891,5.7,OpenStreetMap,High
COMP0078,LOC017,Tailoring,Ganesh Boutique,14.931603,76.700722,4.0,User-provided,High
COMP0079,LOC010,Kirana,Om Kirana Store,9.177068,83.939335,8.9,User-provided,High
COMP0080,LOC001,Dairy,Sun Doodh Bhandar,14.388013,74.512022,1.6,Illustrative,Low
COMP0081,LOC015,Dairy,New Dairy,27.253397,76.451456,9.1,OpenStreetMap,High
COMP0082,LOC009,Tailoring,Durga Tailoring Works,26.808642,74.361283,3.0,Illustrative,Low
COMP0083,LOC013,Dairy,New Dairy,21.353179,88.443073,2.8,OpenStreetMap,High
COMP0084,LOC016,Tailoring,New Boutique,31.550803,83.863063,3.1,OpenStreetMap,High
COMP0085,LOC016,Kirana,Ganesh Mart,14.599873,83.277474,9.2,OpenStreetMap,Medium
COMP0086,LOC002,Tailoring,Jai Tailoring Works,24.849857,75.909850,7.9,Illustrative,Low
COMP0087,LOC007,Tailoring,City Boutique,26.857156,75.844752,4.7,OpenStreetMap,Medium
COMP0088,LOC004,Kirana,Royal Mart,12.914248,76.306189,4.2,OpenStreetMap,High
COMP0089,LOC013,Dairy,Royal Dairy,11.820057,73.613897,0.7,User-provided,High
COMP0090,LOC011,Kirana,Sai Kirana Store,16.334751,75.712541,9.3,User-provided,Medium
COMP0091,LOC010,Tailoring,Jai Tailoring Works,32.138087,79.746232,1.2,OpenStreetMap,Medium
COMP0092,LOC003,Dairy,Ideal Dairy,31.638936,76.056218,3.6,OpenStreetMap,Medium
COMP0093,LOC003,Dairy,Krishna Doodh Bhandar,17.382417,87.236251,2.0,OpenStreetMap,Medium
COMP0094,LOC001,Tailoring,Annapurna Boutique,26.876699,73.438197,0.4,OpenStreetMap,High
COMP0095,LOC009,Dairy,Royal Dairy,16.571576,77.075340,9.5,Illustrative,Low
COMP0096,LOC009,Kirana,Balaji Provision Store,15.567482,84.128681,5.9,OpenStreetMap,High
COMP0097,LOC008,Dairy,Prime Doodh Bhandar,17.715006,76.741435,4.3,User-provided,Medium
COMP0098,LOC016,Dairy,Shri Durga Dudh Dairy,27.024706,82.333891,3.3,OpenStreetMap,Medium
COMP0099,LOC012,Kirana,Vishal Kirana Store,13.155214,84.620305,2.5,OpenStreetMap,High
COMP0100,LOC016,Tailoring,Sai Fashion Point,32.024164,86.670552,9.8,OpenStreetMap,High
COMP0101,LOC007,Dairy,Durga Doodh Bhandar,31.828011,75.519112,1.4,User-provided,Medium
COMP0102,LOC018,Kirana,Prime Kirana Store,28.664995,77.412380,5.7,OpenStreetMap,Medium
COMP0103,LOC009,Dairy,Sai Milk Center,14.312701,75.207159,8.8,Illustrative,Low
COMP0104,LOC011,Dairy,Shri Radha Dudh Dairy,20.626521,76.432681,8.0,User-provided,Medium
COMP0105,LOC004,Dairy,Sun Milk Center,30.436451,73.433681,3.0,OpenStreetMap,High
COMP0106,LOC007,Tailoring,Ganesh Boutique,17.370911,86.398199,4.5,OpenStreetMap,High
COMP0107,LOC004,Tailoring,Krishna Fashion Point,9.302654,78.138260,0.5,OpenStreetMap,High
COMP0108,LOC020,Kirana,New General Store,28.133878,79.221220,3.7,Illustrative,Low
COMP0109,LOC003,Dairy,Ideal Doodh Bhandar,20.052519,79.208270,7.9,Illustrative,Low
COMP0110,LOC018,Dairy,Maa Milk Center,25.159282,79.233686,2.9,OpenStreetMap,Medium
COMP0111,LOC002,Dairy,Shri Star Dudh Dairy,18.436334,86.368668,9.9,OpenStreetMap,High
COMP0112,LOC013,Kirana,New General Store,18.863358,75.258100,1.2,OpenStreetMap,Medium
COMP0113,LOC019,Kirana,Prime Mart,12.317324,73.032900,5.5,User-provided,Medium
COMP0114,LOC019,Tailoring,Gopal Fashion Point,20.557560,75.090423,2.9,Illustrative,Low
COMP0115,LOC003,Dairy,Prime Doodh Bhandar,27.796008,87.979954,2.0,OpenStreetMap,High
COMP0116,LOC016,Dairy,Ganesh Doodh Bhandar,30.191722,82.539385,8.2,OpenStreetMap,High
COMP0117,LOC020,Tailoring,Bharat Boutique,12.809470,76.224749,4.0,Illustrative,Low
COMP0118,LOC013,Dairy,Radha Milk Center,31.793684,85.605701,2.0,Illustrative,Low
COMP0119,LOC011,Dairy,Ideal Doodh Bhandar,28.861132,85.015953,6.5,OpenStreetMap,High
COMP0120,LOC014,Dairy,Shri Sun Dudh Dairy,20.536239,75.606594,0.1,User-provided,High
COMP0121,LOC008,Tailoring,Sai Tailoring Works,27.933757,79.085375,0.8,OpenStreetMap,Medium
COMP0122,LOC012,Dairy,Vishal Doodh Bhandar,20.694886,73.440039,6.3,OpenStreetMap,Medium
COMP0123,LOC017,Dairy,Annapurna Doodh Bhandar,31.315918,74.938116,8.5,Illustrative,Low
COMP0124,LOC007,Dairy,City Doodh Bhandar,31.455007,87.181847,1.7,OpenStreetMap,High
COMP0125,LOC012,Tailoring,Sai Fashion Point,16.204520,82.432448,9.0,User-provided,Medium
COMP0126,LOC009,Tailoring,Krishna Tailoring Works,22.664495,82.469100,2.4,OpenStreetMap,High
COMP0127,LOC007,Dairy,Annapurna Milk Center,30.967331,83.470975,8.9,OpenStreetMap,Medium
COMP0128,LOC004,Kirana,Annapurna Kirana Store,29.084764,87.968632,4.5,Illustrative,Low
COMP0129,LOC009,Kirana,Gopal Mart,27.623862,76.956640,9.8,Illustrative,Low
COMP0130,LOC012,Dairy,Sun Dairy,13.944140,82.461366,9.5,OpenStreetMap,Medium
COMP0131,LOC010,Tailoring,Gopal Fashion Point,8.443162,73.330553,1.6,Illustrative,Low
COMP0132,LOC014,Tailoring,Om Tailors,20.170307,82.416555,0.5,OpenStreetMap,High
COMP0133,LOC019,Dairy,Vishal Dairy,17.007352,76.320866,5.8,Illustrative,Low
COMP0134,LOC007,Dairy,Sai Doodh Bhandar,11.647444,87.504477,2.5,OpenStreetMap,Medium
COMP0135,LOC004,Dairy,Shiv Milk Center,27.249963,79.110660,2.7,OpenStreetMap,High
COMP0136,LOC018,Kirana,Royal Mart,30.985487,84.316301,2.5,OpenStreetMap,High
COMP0137,LOC002,Tailoring,Sai Tailoring Works,14.127818,73.716553,7.7,OpenStreetMap,High
COMP0138,LOC005,Tailoring,Royal Tailoring Works,12.608811,77.657305,3.0,OpenStreetMap,Medium
COMP0139,LOC018,Dairy,Gopal Doodh Bhandar,30.385459,74.063513,6.5,OpenStreetMap,High
COMP0140,LOC004,Dairy,Laxmi Dairy,16.485937,84.569569,6.9,OpenStreetMap,High
COMP0141,LOC009,Tailoring,Shiv Tailoring Works,27.401645,81.014941,2.7,OpenStreetMap,High
COMP0142,LOC017,Dairy,Shri Radha Dudh Dairy,28.685522,75.983589,1.7,OpenStreetMap,High
COMP0143,LOC013,Dairy,Maa Milk Center,30.272398,82.701928,6.9,Illustrative,Low
COMP0144,LOC016,Kirana,New Kirana Store,18.936858,84.176586,5.7,OpenStreetMap,High
COMP0145,LOC013,Tailoring,Modern Tailors,30.350032,75.070140,0.4,OpenStreetMap,High
COMP0146,LOC012,Kirana,New Kirana Store,9.403751,83.674216,6.3,OpenStreetMap,High
COMP0147,LOC003,Kirana,Krishna Provision Store,28.103235,85.667144,8.8,OpenStreetMap,Medium
COMP0148,LOC004,Dairy,Laxmi Milk Center,9.216041,87.703248,9.0,OpenStreetMap,Medium
COMP0149,LOC016,Dairy,Prime Dairy,23.976317,77.423013,3.4,OpenStreetMap,High
COMP0150,LOC012,Dairy,Shri Shree Dudh Dairy,25.649869,78.577982,3.2,Illustrative,Low
COMP0151,LOC010,Tailoring,Star Tailors,9.153084,80.942371,1.1,User-provided,Medium
COMP0152,LOC018,Tailoring,Modern Tailors,28.157449,75.474829,0.1,OpenStreetMap,Medium
COMP0153,LOC002,Dairy,Laxmi Doodh Bhandar,20.244767,85.309319,1.9,User-provided,High
COMP0154,LOC017,Dairy,City Milk Center,28.047307,87.531141,2.4,OpenStreetMap,High
COMP0155,LOC003,Tailoring,Annapurna Tailors,16.272126,74.293831,9.2,OpenStreetMap,Medium
COMP0156,LOC001,Dairy,Shri Balaji Dudh Dairy,18.716267,81.355510,1.8,OpenStreetMap,Medium
COMP0157,LOC005,Tailoring,Jai Tailors,22.416104,80.991195,8.6,User-provided,High
COMP0158,LOC006,Tailoring,Modern Fashion Point,13.967689,78.044644,6.4,OpenStreetMap,High
COMP0159,LOC009,Dairy,Gopal Milk Center,12.159256,76.687022,3.3,Illustrative,Low
COMP0160,LOC006,Dairy,Balaji Milk Center,31.901072,84.241097,1.1,OpenStreetMap,High
COMP0161,LOC013,Dairy,City Milk Center,26.072352,79.628291,2.0,OpenStreetMap,Medium
COMP0162,LOC007,Kirana,Shree Mart,8.704077,86.212944,4.4,OpenStreetMap,Medium
COMP0163,LOC015,Dairy,Shri Royal Dudh Dairy,26.191593,72.886627,2.5,User-provided,High
COMP0164,LOC008,Tailoring,Shiv Boutique,12.774269,74.750183,4.3,OpenStreetMap,High
COMP0165,LOC014,Dairy,Durga Doodh Bhandar,25.574516,75.256397,8.4,User-provided,High
COMP0166,LOC001,Tailoring,Vishal Tailoring Works,24.673405,87.404099,1.9,OpenStreetMap,High
COMP0167,LOC013,Kirana,Shree Kirana Store,14.454477,76.220739,7.1,OpenStreetMap,Medium
COMP0168,LOC004,Kirana,Ideal Mart,13.340064,80.269048,0.3,OpenStreetMap,Medium
COMP0169,LOC014,Kirana,Krishna Mart,32.265699,75.685701,5.1,OpenStreetMap,Medium
COMP0170,LOC002,Dairy,Maa Doodh Bhandar,9.882242,73.980404,9.1,OpenStreetMap,Medium
COMP0171,LOC004,Dairy,Vishal Doodh Bhandar,31.813176,88.409415,9.5,User-provided,Medium
COMP0172,LOC006,Dairy,Annapurna Dairy,13.055446,82.882529,7.2,OpenStreetMap,Medium
COMP0173,LOC014,Tailoring,Prime Fashion Point,21.613252,74.765107,8.3,OpenStreetMap,High
COMP0174,LOC009,Kirana,Star Provision Store,24.759529,80.360633,8.0,OpenStreetMap,Medium
COMP0175,LOC008,Tailoring,Bharat Fashion Point,20.086553,82.586814,0.9,OpenStreetMap,High
COMP0176,LOC010,Kirana,Ganesh Kirana Store,28.352387,87.021153,7.8,OpenStreetMap,Medium
COMP0177,LOC019,Dairy,Krishna Dairy,31.337623,83.098521,2.6,OpenStreetMap,High
COMP0178,LOC008,Dairy,Jai Doodh Bhandar,27.315733,76.074092,4.0,Illustrative,Low
COMP0179,LOC020,Kirana,Shiv Kirana Store,30.129589,81.411466,6.3,OpenStreetMap,High
COMP0180,LOC016,Tailoring,Gopal Tailors,28.626630,83.338288,1.2,OpenStreetMap,Medium
COMP0181,LOC014,Dairy,Bharat Milk Center,20.283149,73.717735,4.7,OpenStreetMap,Medium
COMP0182,LOC008,Tailoring,Sai Tailors,28.662497,80.146978,5.6,OpenStreetMap,Medium
COMP0183,LOC012,Tailoring,Sai Tailors,23.752686,82.787180,0.4,Illustrative,Low
COMP0184,LOC011,Kirana,Vishal Kirana Store,20.068530,84.687597,1.5,OpenStreetMap,Medium
COMP0185,LOC005,Dairy,Shri Gramin Dudh Dairy,19.836258,81.050941,7.7,OpenStreetMap,Medium
COMP0186,LOC014,Dairy,Shri Ideal Dudh Dairy,9.670559,77.339627,3.6,User-provided,High
COMP0187,LOC011,Tailoring,Vishal Fashion Point,16.709926,75.995445,4.9,OpenStreetMap,Medium
COMP0188,LOC007,Dairy,Shri Om Dudh Dairy,22.533473,82.766688,7.8,OpenStreetMap,Medium
COMP0189,LOC018,Kirana,Maa Kirana Store,15.639794,72.897508,2.0,User-provided,Medium
COMP0190,LOC017,Kirana,Royal Mart,11.943945,83.377096,6.9,OpenStreetMap,High
COMP0191,LOC002,Tailoring,Annapurna Tailoring Works,26.780462,74.391378,1.9,OpenStreetMap,Medium
COMP0192,LOC004,Kirana,Jai Kirana Store,29.413322,74.977525,3.1,OpenStreetMap,Medium
COMP0193,LOC006,Tailoring,New Fashion Point,18.779269,82.875708,9.3,OpenStreetMap,Medium
COMP0194,LOC019,Tailoring,Prime Tailors,27.928997,81.832545,9.1,User-provided,Medium
COMP0195,LOC001,Tailoring,Bharat Boutique,26.954268,81.416243,0.9,User-provided,Medium
COMP0196,LOC005,Tailoring,New Tailoring Works,8.624792,83.309050,9.8,OpenStreetMap,High
COMP0197,LOC004,Dairy,Balaji Dairy,25.736360,76.603645,7.3,OpenStreetMap,High
COMP0198,LOC012,Kirana,Gopal General Store,26.700301,77.402350,5.6,User-provided,High
COMP0199,LOC009,Kirana,Durga Kirana Store,9.170446,73.750650,8.8,Illustrative,Low
COMP0200,LOC013,Dairy,Bharat Milk Center,23.075652,77.765588,9.4,User-provided,High
COMP0201,LOC006,Dairy,Jai Dairy,31.388811,75.375204,8.0,User-provided,High
COMP0202,LOC015,Kirana,City Provision Store,15.145761,82.563003,6.5,Illustrative,Low
COMP0203,LOC020,Kirana,Om Kirana Store,22.887409,77.644985,4.3,OpenStreetMap,Medium
COMP0204,LOC013,Tailoring,Sun Boutique,15.227754,72.826455,2.7,User-provided,Medium
COMP0205,LOC019,Kirana,City Kirana Store,28.480867,85.544513,8.6,Illustrative,Low
COMP0206,LOC009,Kirana,Jai Mart,21.282833,81.277705,4.9,User-provided,Medium
COMP0207,LOC008,Dairy,Shiv Dairy,17.931452,83.920927,9.2,Illustrative,Low
COMP0208,LOC013,Tailoring,Ideal Tailors,27.838456,84.923011,2.4,Illustrative,Low
COMP0209,LOC017,Dairy,Krishna Milk Center,13.525917,74.247357,8.0,OpenStreetMap,Medium
COMP0210,LOC019,Tailoring,Prime Tailoring Works,20.864939,75.139442,0.5,User-provided,High
COMP0211,LOC004,Dairy,Ganesh Doodh Bhandar,12.163334,82.176235,3.5,Illustrative,Low
COMP0212,LOC004,Dairy,Modern Doodh Bhandar,22.069133,76.907072,7.7,User-provided,Medium
COMP0213,LOC015,Kirana,Balaji General Store,28.734296,78.119838,9.8,User-provided,Medium
COMP0214,LOC001,Dairy,Shri Durga Dudh Dairy,19.444570,87.671120,9.0,OpenStreetMap,Medium
COMP0215,LOC004,Kirana,Balaji Kirana Store,16.080925,76.461364,1.0,Illustrative,Low
COMP0216,LOC006,Tailoring,Jai Boutique,31.675021,88.369937,2.3,OpenStreetMap,Medium
COMP0217,LOC012,Dairy,Shree Dairy,14.615468,80.859348,7.3,User-provided,Medium
COMP0218,LOC004,Dairy,Krishna Dairy,24.713029,77.491046,5.9,OpenStreetMap,Medium
COMP0219,LOC011,Dairy,Laxmi Doodh Bhandar,17.437094,78.760443,4.4,OpenStreetMap,High
COMP0220,LOC015,Kirana,Shree General Store,12.182644,85.875528,0.9,Illustrative,Low
COMP0221,LOC005,Kirana,Maa Kirana Store,28.698208,82.665419,4.5,OpenStreetMap,Medium
COMP0222,LOC008,Tailoring,Om Fashion Point,16.400696,84.356187,1.9,User-provided,Medium
COMP0223,LOC015,Kirana,Star Provision Store,18.323938,75.244277,2.8,OpenStreetMap,Medium
COMP0224,LOC006,Dairy,Gramin Dairy,19.394050,80.374250,1.6,Illustrative,Low
COMP0225,LOC007,Tailoring,Laxmi Fashion Point,14.612815,75.965463,3.7,OpenStreetMap,High
COMP0226,LOC008,Dairy,Shri Star Dudh Dairy,29.998407,73.702473,7.2,OpenStreetMap,High
COMP0227,LOC001,Tailoring,Vishal Fashion Point,11.777457,72.830192,8.3,Illustrative,Low
COMP0228,LOC006,Dairy,Star Dairy,13.660185,81.770036,1.5,OpenStreetMap,High
COMP0229,LOC006,Dairy,Ganesh Dairy,29.832740,84.274335,7.6,OpenStreetMap,High
COMP0230,LOC005,Tailoring,Modern Boutique,15.823869,72.957571,6.9,Illustrative,Low
COMP0231,LOC002,Tailoring,Gramin Fashion Point,15.190362,82.835141,9.4,OpenStreetMap,High
COMP0232,LOC014,Kirana,Om Mart,29.415529,76.980275,1.9,OpenStreetMap,High
COMP0233,LOC006,Kirana,Jai Kirana Store,20.927734,79.798548,5.2,OpenStreetMap,Medium
COMP0234,LOC008,Kirana,Prime Provision Store,25.539593,78.787809,7.5,OpenStreetMap,Medium
COMP0235,LOC004,Kirana,Sun Mart,20.770869,81.129015,5.4,OpenStreetMap,High
COMP0236,LOC003,Dairy,Sai Milk Center,10.874477,76.732192,8.1,OpenStreetMap,High
COMP0237,LOC004,Kirana,Balaji General Store,8.826265,82.210553,5.7,Illustrative,Low
COMP0238,LOC015,Dairy,Durga Dairy,12.713210,77.086305,4.7,Illustrative,Low
COMP0239,LOC004,Dairy,Om Doodh Bhandar,21.452504,76.370700,2.3,Illustrative,Low
COMP0240,LOC013,Dairy,Annapurna Dairy,17.768748,79.401600,8.3,Illustrative,Low
COMP0241,LOC013,Kirana,Prime Kirana Store,17.154438,79.091097,8.3,User-provided,High
COMP0242,LOC013,Kirana,Gramin Kirana Store,20.868725,87.838418,9.3,OpenStreetMap,Medium
COMP0243,LOC001,Dairy,Ganesh Milk Center,16.216841,75.952322,6.7,OpenStreetMap,High
COMP0244,LOC014,Kirana,Annapurna Mart,9.526961,88.188986,9.6,OpenStreetMap,High
COMP0245,LOC020,Dairy,Shri Annapurna Dudh Dairy,21.468332,87.312824,6.2,OpenStreetMap,High
COMP0246,LOC017,Dairy,Shree Milk Center,15.329301,77.594964,6.4,OpenStreetMap,High
COMP0247,LOC020,Kirana,Ganesh Provision Store,19.640656,81.181154,1.6,OpenStreetMap,High
COMP0248,LOC010,Kirana,Balaji Provision Store,14.265957,74.179201,5.5,User-provided,Medium
COMP0249,LOC013,Dairy,Shri Sun Dudh Dairy,29.892607,77.568110,4.8,OpenStreetMap,High
COMP0250,LOC008,Dairy,Vishal Milk Center,21.556566,88.022811,4.0,OpenStreetMap,High
COMP0251,LOC008,Dairy,Shri Bharat Dudh Dairy,14.905262,86.590450,2.2,OpenStreetMap,High
COMP0252,LOC006,Tailoring,Sun Fashion Point,24.251010,80.916831,8.3,OpenStreetMap,High
COMP0253,LOC017,Dairy,Star Milk Center,16.522080,78.333531,6.7,Illustrative,Low
COMP0254,LOC017,Dairy,Balaji Doodh Bhandar,27.317108,83.924267,9.1,OpenStreetMap,Medium
COMP0255,LOC004,Dairy,Bharat Dairy,17.979591,88.388913,1.6,OpenStreetMap,High
COMP0256,LOC013,Kirana,City Mart,25.825765,77.398826,3.9,Illustrative,Low
COMP0257,LOC011,Dairy,Maa Doodh Bhandar,19.101145,75.692122,3.1,OpenStreetMap,Medium
COMP0258,LOC019,Dairy,Ganesh Milk Center,28.201475,77.982272,9.6,Illustrative,Low
COMP0259,LOC011,Dairy,New Doodh Bhandar,9.016363,76.827814,8.9,OpenStreetMap,Medium
COMP0260,LOC018,Tailoring,Vishal Tailoring Works,28.298797,84.215711,4.3,User-provided,High
COMP0261,LOC002,Tailoring,Sun Fashion Point,31.244388,83.420692,5.2,OpenStreetMap,Medium
COMP0262,LOC012,Tailoring,Krishna Boutique,31.643751,80.441395,4.4,Illustrative,Low
COMP0263,LOC017,Kirana,Sai Kirana Store,17.141477,78.556526,0.8,OpenStreetMap,High
COMP0264,LOC004,Tailoring,Durga Fashion Point,16.674858,87.485647,5.1,User-provided,Medium
COMP0265,LOC017,Dairy,Vishal Milk Center,29.924703,79.272476,0.7,Illustrative,Low
COMP0266,LOC012,Tailoring,Durga Tailors,18.315165,85.165880,3.1,Illustrative,Low
COMP0267,LOC010,Dairy,Modern Dairy,8.772130,73.263654,1.8,Illustrative,Low
COMP0268,LOC018,Tailoring,Modern Boutique,13.184987,82.247347,1.5,Illustrative,Low
COMP0269,LOC001,Dairy,Vishal Milk Center,20.219283,80.140026,4.3,OpenStreetMap,High
COMP0270,LOC019,Dairy,Jai Milk Center,15.038291,73.316379,6.3,Illustrative,Low
COMP0271,LOC012,Dairy,New Doodh Bhandar,9.717761,86.781489,5.8,OpenStreetMap,Medium
